campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
ML6,1,2025-10-24 09:00:00,2025-10-24 09:40:05,2025-10-24 09:52:20,2025-10-24 09:46:12.500,12.25,0.1,20.66,466.28,46.23,32.96,0.984,1.17,0.76,0.95,-0.024,Diretto_Entrambi_Tensiometri,9.399,0.85,10.64,0.19,9.219,0.0,10.453,0.04,11.412,0.22,8.609,0.38,11.301,1.02,11.712,0.37,11.361,8.414,7.782,12.026,9.733,10.089,11.505,9.725,True
ML6,2,2025-10-24 10:00:00,2025-10-24 10:40:05,2025-10-24 10:52:25,2025-10-24 10:46:15.000,12.33,1.1,21.18,465.69,45.99,32.79,0.979,1.5,0.53,0.89,-0.049,Diretto_Entrambi_Tensiometri,9.399,0.43,10.659,0.68,9.263,0.2,10.483,0.21,11.413,0.07,8.661,0.23,11.533,0.51,11.938,0.92,11.553,8.527,7.928,12.059,9.754,10.119,11.734,9.851,True
ML6,3,2025-10-24 11:00:00,2025-10-24 11:40:05,2025-10-24 11:52:26,2025-10-24 11:46:15.500,12.35,2.1,21.12,465.04,45.74,32.6,0.973,2.01,0.85,1.31,0.116,Diretto_Entrambi_Tensiometri,9.403,0.02,10.665,0.68,9.314,0.05,10.489,0.03,11.413,0.13,8.705,0.02,11.638,0.08,12.004,0.85,11.608,8.525,8.005,12.061,9.775,10.138,11.82,9.887,True
ML6,4,2025-10-24 12:00:00,2025-10-24 12:40:05,2025-10-24 12:52:26,2025-10-24 12:46:15.500,12.35,3.1,21.05,464.39,45.48,32.42,0.968,2.4,1.28,1.75,0.243,Diretto_Entrambi_Tensiometri,9.44,0.5,10.651,0.81,9.332,0.12,10.493,0.22,11.411,0.17,8.707,0.22,11.725,0.04,12.068,0.84,11.668,8.499,8.038,12.227,9.79,10.14,11.895,9.936,True
ML6,5,2025-10-24 13:00:00,2025-10-24 13:40:05,2025-10-24 13:52:25,2025-10-24 13:46:15.000,12.33,4.1,21.0,463.75,45.22,32.24,0.962,3.27,1.31,2.07,0.316,Diretto_Entrambi_Tensiometri,9.455,0.04,10.681,0.74,9.355,0.11,10.532,0.15,11.449,0.08,8.697,0.08,11.79,0.43,12.148,0.43,11.761,8.501,8.074,12.287,9.812,10.16,11.968,9.98,True
ML6,6,2025-10-24 14:00:00,2025-10-24 14:40:05,2025-10-24 14:52:38,2025-10-24 14:46:21.500,12.55,5.1,21.02,463.11,44.97,32.05,0.957,4.46,1.47,2.56,0.408,Diretto_Entrambi_Tensiometri,9.504,0.36,10.734,0.41,9.382,0.1,10.58,0.25,11.467,0.18,8.725,0.0,11.87,0.25,12.205,0.52,11.838,8.478,8.125,12.357,9.855,10.191,12.036,10.019,True
ML6,7,2025-10-24 15:00:00,2025-10-24 15:40:05,2025-10-24 15:52:42,2025-10-24 15:46:23.500,12.62,6.11,21.02,462.47,44.71,31.87,0.951,6.22,1.7,3.26,0.513,Diretto_Entrambi_Tensiometri,9.543,0.01,10.744,0.86,9.394,0.17,10.61,0.44,11.498,0.14,8.744,0.41,12.141,0.14,12.186,0.26,11.939,8.519,8.175,12.407,9.876,10.218,12.163,10.078,True
ML6,8,2025-10-24 16:00:00,2025-10-24 16:40:05,2025-10-24 16:52:40,2025-10-24 16:46:22.500,12.58,7.1,21.0,461.82,44.45,31.68,0.946,8.05,5.23,6.48,0.812,Diretto_Entrambi_Tensiometri,9.634,0.2,10.819,0.95,9.425,0.13,10.659,0.13,11.521,0.21,8.732,0.04,12.567,0.56,12.176,0.36,11.942,8.624,8.199,12.5,9.941,10.235,12.37,10.136,True
ML6,9,2025-10-24 17:00:00,2025-10-24 17:40:05,2025-10-24 17:52:44,2025-10-24 17:46:24.500,12.65,8.11,20.95,461.15,44.18,31.49,0.94,9.59,7.14,8.28,0.918,Diretto_Entrambi_Tensiometri,9.727,0.01,10.857,1.07,9.453,0.32,10.722,0.32,11.545,0.19,8.749,0.4,13.072,0.1,12.107,0.02,12.011,8.733,8.222,12.606,9.994,10.269,12.58,10.211,True
ML6,10,2025-10-24 18:00:00,2025-10-24 18:40:05,2025-10-24 18:52:49,2025-10-24 18:46:27.000,12.73,9.11,20.91,460.52,43.93,31.31,0.935,11.01,8.18,9.49,0.977,Diretto_Entrambi_Tensiometri,9.835,0.18,10.907,0.9,9.507,0.28,10.745,0.03,11.581,0.21,8.768,0.29,13.584,0.54,12.053,0.1,12.249,8.911,8.247,12.718,10.066,10.295,12.796,10.344,True
ML6,11,2025-10-24 19:00:00,2025-10-24 19:40:05,2025-10-24 19:52:50,2025-10-24 19:46:27.500,12.75,10.11,20.89,459.92,43.69,31.14,0.93,12.16,9.23,10.59,1.025,Diretto_Entrambi_Tensiometri,9.967,0.02,10.972,1.18,9.542,0.36,10.807,0.35,11.608,0.34,8.766,0.15,14.12,0.38,11.958,0.23,12.476,9.074,8.27,12.838,10.143,10.322,12.994,10.471,True
ML6,12,2025-10-24 20:00:00,2025-10-24 20:40:05,2025-10-24 20:52:48,2025-10-24 20:46:26.500,12.72,11.11,20.86,459.31,43.44,30.97,0.924,11.65,9.94,10.76,1.032,Diretto_Entrambi_Tensiometri,10.112,0.02,11.017,1.15,9.591,0.42,10.849,0.13,11.648,0.18,8.776,0.0,14.748,0.58,11.902,0.17,12.626,9.181,8.301,12.959,10.223,10.351,13.249,10.567,True
ML6,13,2025-10-24 21:00:00,2025-10-24 21:40:05,2025-10-24 21:52:49,2025-10-24 21:46:27.000,12.73,12.11,20.83,458.73,43.21,30.8,0.919,12.0,10.11,11.01,1.042,Diretto_Entrambi_Tensiometri,10.253,0.07,11.063,1.17,9.643,0.29,10.905,0.0,11.692,0.11,8.784,0.04,15.274,0.57,11.867,0.08,12.67,9.182,8.319,13.041,10.303,10.385,13.463,10.599,True
ML6,14,2025-10-24 22:00:00,2025-10-24 22:40:05,2025-10-24 22:52:44,2025-10-24 22:46:24.500,12.65,13.11,20.82,458.18,42.99,30.65,0.915,12.41,10.29,11.3,1.053,Diretto_Entrambi_Tensiometri,10.425,0.05,11.067,1.07,9.729,0.36,10.947,0.07,11.713,0.18,8.826,0.18,16.284,0.29,11.799,0.5,12.382,9.169,8.345,13.053,10.393,10.421,13.861,10.545,True
ML6,15,2025-10-24 23:00:00,2025-10-24 23:40:05,2025-10-24 23:52:44,2025-10-24 23:46:24.500,12.65,14.11,20.81,457.64,42.77,30.49,0.91,11.19,10.79,10.99,1.041,Diretto_Entrambi_Tensiometri,10.603,0.06,11.072,1.07,9.794,0.15,11.008,0.01,11.738,0.26,8.843,0.05,17.193,0.42,11.733,0.7,12.159,9.203,8.365,13.107,10.476,10.454,14.203,10.524,True
ML6,16,2025-10-25 00:00:00,2025-10-25 00:40:05,2025-10-25 00:52:44,2025-10-25 00:46:24.500,12.65,15.11,20.82,457.09,42.56,30.34,0.905,16.09,11.46,13.58,1.133,Diretto_Entrambi_Tensiometri,10.767,0.02,11.14,1.03,9.812,0.01,11.068,0.03,11.778,0.14,8.855,0.17,17.767,0.74,11.713,0.22,11.997,9.174,8.366,13.229,10.558,10.49,14.426,10.506,True
ML6,17,2025-10-25 01:00:00,2025-10-25 01:40:05,2025-10-25 01:52:49,2025-10-25 01:46:27.000,12.73,16.11,20.81,456.56,42.34,30.19,0.901,22.58,12.12,16.55,1.219,Diretto_Entrambi_Tensiometri,10.977,0.06,11.255,0.98,9.783,0.11,11.128,0.12,11.798,0.11,8.883,0.15,18.42,0.91,11.654,0.05,11.917,9.135,8.379,13.453,10.652,10.526,14.652,10.525,True
ML6,18,2025-10-25 02:00:00,2025-10-25 02:40:05,2025-10-25 02:52:51,2025-10-25 02:46:28.000,12.77,17.11,20.81,456.03,42.13,30.03,0.896,25.5,12.93,18.16,1.259,Diretto_Entrambi_Tensiometri,11.224,0.15,11.385,0.9,9.739,0.52,11.204,0.21,11.813,0.27,8.897,0.17,19.065,0.29,11.527,0.33,11.854,9.091,8.371,13.617,10.756,10.56,14.824,10.528,True
