campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,qualita_qc_pass
ML5,1,2025-10-08 20:00:00,2025-10-08 20:10:05,2025-10-08 20:22:55,2025-10-08 20:16:30.000,12.83,0.11,21.95,490.25,40.24,25.82,0.982,1.32,0.94,1.11,0.047,Diretto_Entrambi_Tensiometri,10.091,0.92,10.637,0.61,9.537,0.92,11.213,0.22,10.305,0.08,8.677,0.42,12.423,0.03,10.39,0.36,19.235,6.89,11.737,6.79,True
ML5,2,2025-10-08 21:00:00,2025-10-08 21:10:05,2025-10-08 21:22:53,2025-10-08 21:16:29.000,12.8,1.11,22.25,489.67,40.01,25.67,0.976,3.15,0.5,1.26,0.1,Diretto_Entrambi_Tensiometri,10.065,0.41,10.624,0.64,9.451,0.68,11.21,0.05,10.257,0.11,8.644,0.8,14.195,0.26,9.582,0.33,17.57,6.93,11.594,6.81,True
ML5,3,2025-10-08 22:00:00,2025-10-08 22:10:05,2025-10-08 22:22:50,2025-10-08 22:16:27.500,12.75,2.11,22.15,489.16,39.81,25.54,0.971,4.72,0.58,1.66,0.219,Diretto_Entrambi_Tensiometri,10.071,0.38,10.655,0.08,9.412,0.6,11.264,0.49,10.259,0.38,8.653,0.49,14.608,1.45,9.662,0.44,17.103,6.903,11.488,6.841,True
ML5,4,2025-10-08 23:00:00,2025-10-08 23:10:05,2025-10-08 23:22:51,2025-10-08 23:16:28.000,12.77,3.11,22.07,488.64,39.6,25.41,0.966,5.83,0.61,1.89,0.275,Diretto_Entrambi_Tensiometri,10.093,0.57,10.702,0.54,9.457,0.24,11.271,0.08,10.269,0.3,8.655,0.37,14.71,1.02,9.742,1.29,17.118,6.907,11.394,6.856,True
ML5,5,2025-10-09 00:00:00,2025-10-09 00:10:05,2025-10-09 00:22:57,2025-10-09 00:16:31.000,12.87,4.11,21.97,488.13,39.39,25.28,0.961,7.3,0.6,2.09,0.32,Diretto_Entrambi_Tensiometri,10.121,0.52,10.689,0.32,9.45,0.01,11.304,0.31,10.632,2.3,8.655,0.58,14.813,1.17,9.838,0.37,17.195,6.898,11.312,6.547,True
ML5,6,2025-10-09 01:00:00,2025-10-09 01:10:05,2025-10-09 01:23:03,2025-10-09 01:16:34.000,12.97,5.11,21.92,487.61,39.19,25.14,0.956,6.71,0.93,2.5,0.398,Diretto_Entrambi_Tensiometri,10.147,0.32,10.73,0.62,9.489,0.39,11.335,0.37,10.702,1.88,8.657,0.49,14.964,1.11,10.036,1.29,17.309,6.906,11.305,6.466,True
ML5,7,2025-10-09 02:00:00,2025-10-09 02:10:05,2025-10-09 02:23:12,2025-10-09 02:16:38.500,13.12,6.11,21.88,487.12,38.99,25.02,0.951,7.38,1.15,2.91,0.464,Diretto_Entrambi_Tensiometri,10.195,0.23,10.697,0.29,9.529,0.43,11.361,0.21,10.738,2.09,8.681,0.68,15.055,1.11,10.107,2.17,17.371,6.901,11.425,6.437,True
ML5,8,2025-10-09 03:00:00,2025-10-09 03:10:05,2025-10-09 03:23:23,2025-10-09 03:16:44.000,13.3,7.11,21.85,486.61,38.79,24.89,0.946,7.58,1.43,3.29,0.518,Diretto_Entrambi_Tensiometri,10.259,0.32,10.748,0.34,9.554,0.68,11.471,0.01,10.751,1.42,8.647,0.97,15.145,1.74,10.181,2.2,17.533,6.896,11.39,6.141,True
ML5,9,2025-10-09 04:00:00,2025-10-09 04:10:05,2025-10-09 04:23:14,2025-10-09 04:16:39.500,13.15,8.11,21.83,486.12,38.59,24.76,0.941,8.58,2.2,4.34,0.637,Diretto_Entrambi_Tensiometri,10.322,0.2,10.796,0.43,9.575,0.68,11.536,0.01,10.754,1.44,8.648,0.9,15.248,2.05,10.209,2.36,17.615,6.894,11.292,6.108,True
ML5,10,2025-10-09 05:00:00,2025-10-09 05:10:05,2025-10-09 05:23:02,2025-10-09 05:16:33.500,12.95,9.11,21.79,485.61,38.39,24.63,0.936,9.91,3.03,5.48,0.739,Diretto_Entrambi_Tensiometri,10.391,0.05,10.841,0.53,9.594,0.91,11.593,0.07,10.765,1.39,8.645,1.06,15.321,2.18,10.251,2.52,17.779,6.925,11.252,6.091,True
ML5,11,2025-10-09 06:00:00,2025-10-09 06:10:05,2025-10-09 06:23:08,2025-10-09 06:16:36.500,13.05,10.11,21.78,485.1,38.18,24.5,0.931,14.55,3.94,7.57,0.879,Diretto_Entrambi_Tensiometri,10.47,0.1,10.875,0.24,9.627,0.83,11.647,0.08,10.797,1.36,8.66,0.99,15.318,3.06,10.266,2.27,18.026,6.915,11.222,6.07,True
ML5,12,2025-10-09 07:00:00,2025-10-09 07:10:05,2025-10-09 07:23:14,2025-10-09 07:16:39.500,13.15,11.11,21.76,484.6,37.98,24.37,0.926,16.81,5.56,9.67,0.985,Diretto_Entrambi_Tensiometri,10.567,0.07,10.919,0.12,9.644,1.17,11.695,0.05,10.824,1.24,8.678,0.98,15.415,2.68,10.195,2.97,18.27,6.932,11.197,6.036,True
ML5,13,2025-10-09 08:00:00,2025-10-09 08:10:05,2025-10-09 08:22:59,2025-10-09 08:16:32.000,12.9,12.11,21.73,484.08,37.78,24.24,0.921,19.04,7.04,11.57,1.063,Diretto_Entrambi_Tensiometri,10.681,0.1,10.989,0.05,9.663,1.05,11.777,0.08,10.875,0.93,8.682,0.76,15.568,4.19,10.183,3.09,18.785,6.942,11.141,6.023,True
ML5,14,2025-10-09 09:00:00,2025-10-09 09:10:05,2025-10-09 09:23:16,2025-10-09 09:16:40.500,13.18,13.11,21.77,483.59,37.58,24.11,0.917,21.37,8.65,13.59,1.133,Diretto_Entrambi_Tensiometri,10.784,0.29,11.067,0.04,9.671,1.44,11.822,0.0,10.87,1.22,8.693,0.94,15.865,4.03,10.221,2.61,19.18,6.965,10.814,5.994,True
