campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
ML7,1,2025-07-23 13:00:00,2025-07-23 13:10:08,2025-07-23 13:22:56,2025-07-23 13:16:32.000,12.8,0.11,25.32,394.98,38.25,31.95,0.696,0.11,-0.11,0.0,,Diretto_Entrambi_Tensiometri,64.22,0.06,58.498,0.6,62.556,0.3,54.188,0.46,53.676,0.38,50.444,0.23,33.876,4.75,61.125,1.2,111.363,70.314,58.428,42.003,61.711,52.743,45.505,66.21,True
ML7,2,2025-07-23 14:00:00,2025-07-23 14:10:08,2025-07-23 14:23:02,2025-07-23 14:16:35.000,12.9,1.11,25.62,394.28,37.97,31.71,0.69,0.13,-0.11,0.0,,Diretto_Entrambi_Tensiometri,63.676,0.1,57.44,0.65,61.985,0.12,53.129,0.14,52.568,0.68,50.635,0.42,32.762,6.48,58.601,2.31,108.853,69.043,57.938,41.634,60.976,52.1,43.817,65.252,True
ML7,3,2025-07-23 15:00:00,2025-07-23 15:10:08,2025-07-23 15:23:05,2025-07-23 15:16:36.500,12.95,2.11,25.65,393.57,37.69,31.47,0.685,0.16,-0.08,0.0,,Diretto_Entrambi_Tensiometri,63.079,0.01,57.041,0.83,61.65,0.83,52.265,0.59,51.248,0.33,50.127,0.66,32.84,5.45,56.424,1.32,106.9,67.857,57.469,41.335,60.534,51.206,43.046,64.429,True
ML7,4,2025-07-23 16:00:00,2025-07-23 16:10:08,2025-07-23 16:23:07,2025-07-23 16:16:37.500,12.98,3.11,25.65,392.89,37.42,31.25,0.68,0.24,0.0,0.02,-1.607,Diretto_Entrambi_Tensiometri,62.952,0.14,56.647,0.41,61.064,0.83,52.431,0.24,51.312,0.09,50.484,1.56,35.617,7.29,54.791,1.65,106.589,67.077,57.138,40.863,60.162,51.403,44.176,63.92,True
ML7,5,2025-07-23 17:00:00,2025-07-23 17:10:08,2025-07-23 17:23:02,2025-07-23 17:16:35.000,12.9,4.11,25.59,392.2,37.14,31.02,0.675,0.33,0.09,0.17,-0.769,Diretto_Entrambi_Tensiometri,63.074,0.15,57.256,1.61,61.041,0.37,52.267,0.41,51.565,0.8,50.135,0.84,39.661,8.48,53.227,2.18,105.476,66.666,57.175,40.508,60.408,51.315,45.946,63.526,True
ML7,6,2025-07-23 18:00:00,2025-07-23 18:10:08,2025-07-23 18:23:09,2025-07-23 18:16:38.500,13.02,5.11,25.58,391.54,36.88,30.8,0.67,0.38,0.14,0.23,-0.642,Diretto_Entrambi_Tensiometri,62.903,0.01,57.045,1.09,60.519,0.25,52.647,0.59,51.69,0.37,49.781,0.97,39.339,8.49,51.629,2.62,105.395,65.944,57.198,40.203,60.107,51.359,45.067,63.228,True
ML7,7,2025-07-23 19:00:00,2025-07-23 19:10:08,2025-07-23 19:23:14,2025-07-23 19:16:41.000,13.1,6.11,25.58,390.89,36.62,30.58,0.666,0.41,0.16,0.26,-0.588,Diretto_Entrambi_Tensiometri,62.687,0.05,57.001,0.03,60.892,0.88,52.68,0.24,51.726,0.27,50.114,1.19,38.408,10.85,50.675,0.7,104.434,65.579,57.081,40.103,60.146,51.496,44.117,62.924,True
ML7,8,2025-07-23 20:00:00,2025-07-23 20:10:08,2025-07-23 20:22:52,2025-07-23 20:16:30.000,12.73,7.11,25.49,390.23,36.35,30.36,0.661,0.5,0.26,0.36,-0.444,Diretto_Entrambi_Tensiometri,62.67,0.03,57.764,0.76,60.246,0.75,52.889,0.26,51.968,0.1,49.759,0.23,25.189,5.41,50.437,0.01,105.988,65.173,57.012,39.495,60.193,51.522,35.643,62.8,True
ML7,9,2025-07-23 21:00:00,2025-07-23 21:10:08,2025-07-23 21:23:11,2025-07-23 21:16:39.500,13.05,8.11,25.38,389.58,36.09,30.14,0.656,0.58,0.33,0.44,-0.357,Diretto_Entrambi_Tensiometri,62.512,0.02,58.12,1.61,60.491,1.24,52.112,1.11,52.016,0.65,51.224,0.78,25.657,5.1,41.139,5.62,106.8,69.481,56.862,39.247,60.348,51.782,32.489,63.792,True
ML7,10,2025-07-23 22:00:00,2025-07-23 22:10:08,2025-07-23 22:23:04,2025-07-23 22:16:36.000,12.93,9.11,25.27,388.95,35.84,29.93,0.652,0.66,0.42,0.52,-0.281,Diretto_Entrambi_Tensiometri,62.485,0.11,57.78,2.1,60.8,0.67,52.105,0.25,52.398,0.66,51.247,0.15,27.03,5.55,40.502,5.55,106.043,69.496,56.854,38.503,60.323,51.914,33.087,63.376,True
