campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,qualita_qc_pass
ML3,1,2025-07-16 12:00:00,2025-07-16 12:25:05,2025-07-16 12:38:13,2025-07-16 12:31:39.000,13.13,0.11,23.69,464.8,46.52,33.37,0.969,2.53,0.61,1.25,0.095,Diretto_Entrambi_Tensiometri,19.783,0.31,21.485,0.12,17.64,0.05,23.161,0.01,26.343,0.32,17.158,0.03,25.27,1.45,17.917,0.01,20.777,18.772,21.219,25.806,True
ML3,2,2025-07-16 13:00:00,2025-07-16 13:25:05,2025-07-16 13:38:36,2025-07-16 13:31:50.500,13.52,1.11,24.48,464.05,46.22,33.16,0.963,2.17,0.72,1.25,0.096,Diretto_Entrambi_Tensiometri,19.794,0.36,21.517,0.14,17.712,0.3,23.166,0.06,26.183,0.53,17.192,0.23,26.702,2.85,18.008,0.06,20.756,18.827,21.271,25.829,True
ML3,3,2025-07-16 14:00:00,2025-07-16 14:25:05,2025-07-16 14:38:35,2025-07-16 14:31:50.000,13.5,2.11,24.95,463.35,45.94,32.96,0.957,2.24,1.09,1.56,0.192,Diretto_Entrambi_Tensiometri,19.808,0.31,21.594,0.23,17.676,0.19,23.16,0.14,26.135,0.67,17.183,0.18,26.419,2.35,18.085,0.17,20.941,18.845,22.945,25.762,True
ML3,4,2025-07-16 15:00:00,2025-07-16 15:25:05,2025-07-16 15:38:36,2025-07-16 15:31:50.500,13.52,3.11,25.14,462.62,45.65,32.74,0.951,2.74,0.64,1.33,0.122,Diretto_Entrambi_Tensiometri,19.763,0.11,21.646,0.1,17.73,0.26,23.185,0.01,26.051,0.66,17.205,0.08,26.28,2.76,18.074,0.87,21.07,18.927,23.255,25.686,True
ML3,5,2025-07-16 16:00:00,2025-07-16 16:25:05,2025-07-16 16:38:40,2025-07-16 16:31:52.500,13.58,4.11,25.28,461.88,45.35,32.53,0.945,3.37,0.67,1.5,0.177,Diretto_Entrambi_Tensiometri,19.817,0.28,21.641,0.3,17.721,0.27,23.209,0.18,26.013,0.67,17.233,0.24,26.468,2.78,18.048,0.82,20.922,18.93,23.229,25.626,True
ML3,6,2025-07-16 17:00:00,2025-07-16 17:25:05,2025-07-16 17:38:29,2025-07-16 17:31:47.000,13.4,5.11,25.29,461.24,45.1,32.35,0.94,4.28,0.8,1.85,0.267,Diretto_Entrambi_Tensiometri,19.873,0.2,21.729,0.06,17.813,0.2,23.26,0.02,26.11,0.67,17.263,0.12,26.581,2.67,18.067,0.88,20.926,18.957,23.484,25.598,True
ML3,7,2025-07-16 18:00:00,2025-07-16 18:25:05,2025-07-16 18:38:29,2025-07-16 18:31:47.000,13.4,6.11,25.34,460.61,44.84,32.17,0.934,5.21,1.03,2.31,0.365,Diretto_Entrambi_Tensiometri,19.948,0.18,21.801,0.01,17.853,0.23,23.329,0.16,26.142,0.7,17.303,0.19,26.1,2.63,18.253,1.25,21.105,18.953,23.689,25.539,True
ML3,8,2025-07-16 19:00:00,2025-07-16 19:25:05,2025-07-16 19:38:26,2025-07-16 19:31:45.500,13.35,7.11,25.26,459.98,44.59,31.99,0.929,6.46,1.2,2.78,0.444,Diretto_Entrambi_Tensiometri,20.074,0.13,21.874,0.08,17.964,0.09,23.423,0.03,26.266,0.88,17.333,0.1,26.253,2.95,18.192,1.08,21.002,18.987,23.856,25.517,True
ML3,9,2025-07-16 20:00:00,2025-07-16 20:25:05,2025-07-16 20:38:22,2025-07-16 20:31:43.500,13.28,8.11,25.2,459.41,44.36,31.82,0.924,7.55,1.34,3.18,0.503,Diretto_Entrambi_Tensiometri,20.166,0.03,21.939,0.12,17.994,0.08,23.41,0.15,26.35,0.85,17.395,0.0,26.89,2.73,18.336,1.16,21.029,18.994,23.969,25.943,True
ML3,10,2025-07-16 21:00:00,2025-07-16 21:25:05,2025-07-16 21:38:21,2025-07-16 21:31:43.000,13.27,9.11,25.09,458.81,44.13,31.65,0.919,8.92,1.66,3.85,0.585,Diretto_Entrambi_Tensiometri,20.268,0.09,22.046,0.08,18.058,0.22,23.515,0.08,26.464,0.83,17.459,0.06,26.62,2.63,18.359,1.11,21.207,19.048,24.067,26.628,True
