campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
ML4,1,2025-06-25 16:00:00,2025-06-25 16:35:05,2025-06-25 16:47:22,2025-06-25 16:41:13.500,12.28,0.1,25.43,424.61,43.47,34.4,0.836,0.01,-0.32,0.0,,Diretto_Entrambi_Tensiometri,46.593,0.13,45.979,0.11,44.913,1.43,47.347,1.31,51.114,0.38,47.427,0.34,50.047,0.25,52.53,1.82,36.949,41.607,47.664,59.113,45.823,48.598,51.273,45.621,True
ML4,2,2025-06-25 17:00:00,2025-06-25 17:35:05,2025-06-25 17:47:32,2025-06-25 17:41:18.500,12.45,1.1,26.07,423.79,43.15,34.14,0.83,0.16,-0.12,0.0,,Diretto_Entrambi_Tensiometri,46.638,0.0,45.772,0.13,44.593,1.45,46.697,0.25,50.526,0.04,47.255,0.28,49.842,0.56,51.697,0.73,36.937,41.903,47.203,59.431,45.66,48.13,50.761,45.648,True
ML4,3,2025-06-25 18:00:00,2025-06-25 18:35:05,2025-06-25 18:47:36,2025-06-25 18:41:20.500,12.52,2.1,26.25,422.99,42.82,33.89,0.824,0.39,0.11,0.21,-0.675,Diretto_Entrambi_Tensiometri,46.689,0.08,45.435,0.44,44.582,1.67,46.429,0.12,50.25,0.12,47.161,0.16,49.789,0.4,51.781,0.68,36.892,41.248,46.827,59.17,45.56,47.918,50.775,45.314,True
ML4,4,2025-06-25 19:00:00,2025-06-25 19:35:05,2025-06-25 19:47:36,2025-06-25 19:41:20.500,12.52,3.1,26.19,422.18,42.5,33.63,0.817,0.6,0.3,0.42,-0.374,Diretto_Entrambi_Tensiometri,46.836,0.1,45.293,0.6,44.369,0.84,46.258,0.18,50.166,0.22,47.32,0.17,49.921,0.89,51.732,1.55,36.488,41.367,46.565,58.801,45.488,47.887,50.818,45.088,True
ML4,5,2025-06-25 20:00:00,2025-06-25 20:35:05,2025-06-25 20:47:36,2025-06-25 20:41:20.500,12.52,4.1,26.13,421.4,42.19,33.38,0.811,0.5,0.22,0.33,-0.478,Diretto_Entrambi_Tensiometri,46.942,0.18,45.762,0.4,44.065,2.2,46.328,0.06,50.263,0.26,47.373,0.19,49.246,0.31,50.478,0.28,36.562,41.508,48.619,56.585,45.574,47.959,49.858,45.203,True
ML4,6,2025-06-25 21:00:00,2025-06-25 21:35:05,2025-06-25 21:47:46,2025-06-25 21:41:25.500,12.68,5.11,26.08,420.62,41.88,33.14,0.805,0.77,0.49,0.61,-0.212,Diretto_Entrambi_Tensiometri,47.889,0.06,46.209,0.58,43.736,1.38,46.383,0.18,50.268,0.16,47.611,0.26,49.75,0.1,50.01,1.64,36.291,41.368,50.078,57.88,45.913,48.06,49.88,45.673,True
ML4,7,2025-06-25 22:00:00,2025-06-25 22:35:05,2025-06-25 22:47:53,2025-06-25 22:41:29.000,12.8,6.11,26.06,419.94,41.6,32.92,0.8,0.97,0.68,0.81,-0.09,Diretto_Entrambi_Tensiometri,48.257,0.08,46.281,0.57,43.474,0.28,46.527,0.07,50.172,0.22,47.629,0.5,50.907,1.12,50.942,1.1,35.679,41.071,50.768,57.895,45.962,48.085,50.924,45.556,True
ML4,8,2025-06-25 23:00:00,2025-06-25 23:35:05,2025-06-25 23:47:55,2025-06-25 23:41:30.000,12.83,7.11,26.05,419.24,41.32,32.7,0.795,1.03,0.75,0.88,-0.056,Diretto_Entrambi_Tensiometri,48.521,0.04,46.435,0.33,43.156,0.18,46.791,0.3,50.169,0.23,47.456,0.41,52.345,1.16,51.382,0.01,34.877,40.245,51.157,57.017,45.984,48.117,51.861,44.982,True
ML4,9,2025-06-26 00:00:00,2025-06-26 00:35:05,2025-06-26 00:47:55,2025-06-26 00:41:30.000,12.83,8.11,26.04,418.52,41.04,32.47,0.789,1.25,0.97,1.1,0.042,Diretto_Entrambi_Tensiometri,48.752,0.04,46.889,0.55,42.873,0.09,46.981,0.18,49.987,0.17,47.547,0.39,52.799,1.17,51.422,0.61,34.439,40.289,51.273,56.646,46.105,48.154,52.106,44.805,True
ML4,10,2025-06-26 01:00:00,2025-06-26 01:35:05,2025-06-26 01:48:00,2025-06-26 01:41:32.500,12.92,9.11,26.03,417.82,40.76,32.25,0.784,1.44,1.15,1.29,0.11,Diretto_Entrambi_Tensiometri,48.931,0.03,46.979,0.28,42.615,0.04,46.984,0.18,49.899,0.12,48.082,0.55,53.724,0.58,50.84,0.58,34.027,39.94,51.611,56.304,46.098,48.307,52.262,44.579,True
ML4,11,2025-06-26 02:00:00,2025-06-26 02:35:05,2025-06-26 02:47:55,2025-06-26 02:41:30.000,12.83,10.11,25.96,417.13,40.48,32.03,0.778,1.6,1.31,1.45,0.161,Diretto_Entrambi_Tensiometri,49.064,0.03,47.093,0.43,42.462,0.04,47.161,0.28,49.875,0.23,48.768,0.56,54.341,0.73,51.369,1.63,33.228,39.803,52.652,55.331,46.122,48.589,52.834,44.305,True
ML4,12,2025-06-26 03:00:00,2025-06-26 03:35:05,2025-06-26 03:48:00,2025-06-26 03:41:32.500,12.92,11.11,25.91,416.45,40.21,31.82,0.773,1.75,1.48,1.61,0.206,Diretto_Entrambi_Tensiometri,49.08,0.04,47.146,0.19,42.475,0.23,47.141,0.31,49.891,0.25,50.868,1.21,54.646,0.84,43.16,1.89,32.861,42.221,53.001,54.76,46.149,49.274,48.565,44.796,True
ML4,13,2025-06-26 04:00:00,2025-06-26 04:35:05,2025-06-26 04:48:04,2025-06-26 04:41:34.500,12.98,12.11,25.82,415.76,39.93,31.6,0.768,1.94,1.64,1.78,0.252,Diretto_Entrambi_Tensiometri,49.164,0.0,47.342,0.17,42.536,0.38,47.043,0.07,49.956,0.22,51.814,1.55,55.026,1.35,43.953,2.06,32.528,41.764,53.878,54.275,46.261,49.565,49.179,44.644,True
ML4,14,2025-06-26 05:00:00,2025-06-26 05:35:05,2025-06-26 05:47:55,2025-06-26 05:41:30.000,12.83,13.11,25.79,415.07,39.66,31.38,0.763,2.07,1.74,1.9,0.279,Diretto_Entrambi_Tensiometri,49.165,0.1,47.56,0.03,42.482,0.29,47.187,0.03,50.357,0.16,52.94,1.98,55.267,1.42,43.474,1.88,32.462,41.827,54.175,53.736,46.313,50.106,49.017,44.589,True
ML4,15,2025-06-26 06:00:00,2025-06-26 06:35:06,2025-06-26 06:48:05,2025-06-26 06:41:35.500,12.98,14.11,26.0,414.39,39.39,31.17,0.757,2.23,1.92,2.07,0.316,Diretto_Entrambi_Tensiometri,49.397,0.04,47.835,0.21,42.513,0.32,47.245,0.01,50.539,0.16,52.498,2.12,55.416,1.01,44.134,2.2,32.587,41.54,54.327,53.662,46.486,50.047,49.454,44.571,True
ML4,16,2025-06-26 07:00:00,2025-06-26 07:35:05,2025-06-26 07:48:04,2025-06-26 07:41:34.500,12.98,15.11,27.12,413.55,39.05,30.9,0.751,2.46,2.12,2.28,0.359,Diretto_Entrambi_Tensiometri,49.486,0.15,48.248,0.44,42.294,0.35,47.213,0.03,50.506,0.21,50.13,0.81,55.502,2.3,44.034,2.71,32.282,41.446,54.57,52.781,46.567,49.261,49.437,44.307,True
