campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
ML9,1,2025-07-08 11:00:00,2025-07-08 11:35:05,2025-07-08 11:47:48,2025-07-08 11:41:26.500,12.72,0.11,25.01,458.23,42.11,29.83,0.916,0.58,0.18,0.32,-0.495,Diretto_Entrambi_Tensiometri,34.899,0.17,34.36,0.17,29.122,0.33,35.015,0.11,42.525,0.25,29.663,0.37,34.841,0.56,45.979,0.84,29.666,32.624,35.162,31.703,32.686,35.349,40.024,32.229,True
ML9,2,2025-07-08 12:00:00,2025-07-08 12:35:05,2025-07-08 12:47:51,2025-07-08 12:41:28.000,12.77,1.11,25.04,457.34,41.76,29.58,0.908,0.79,0.34,0.52,-0.284,Diretto_Entrambi_Tensiometri,34.522,0.43,34.012,0.37,28.999,0.23,34.698,0.12,41.906,0.1,29.469,0.29,34.527,0.35,45.397,0.13,29.309,32.321,34.902,31.236,32.412,34.993,39.591,31.879,True
ML9,3,2025-07-08 13:00:00,2025-07-08 13:35:05,2025-07-08 13:47:51,2025-07-08 13:41:28.000,12.77,2.11,25.11,456.49,41.42,29.34,0.9,1.09,0.61,0.82,-0.086,Diretto_Entrambi_Tensiometri,34.673,0.32,34.181,0.3,29.06,0.13,34.848,0.15,42.148,0.09,29.501,0.07,34.032,0.16,44.88,0.05,29.287,32.118,34.9,31.153,32.535,35.123,39.081,31.801,True
ML9,4,2025-07-08 14:00:00,2025-07-08 14:35:05,2025-07-08 14:47:53,2025-07-08 14:41:29.000,12.8,3.11,25.11,455.64,41.08,29.1,0.893,1.33,0.85,1.06,0.026,Diretto_Entrambi_Tensiometri,34.916,0.36,34.435,0.33,29.218,0.07,34.979,0.2,42.842,0.08,29.659,0.17,33.008,0.33,44.418,0.02,29.39,31.953,34.964,30.655,32.751,35.422,38.29,31.674,True
ML9,5,2025-07-08 15:00:00,2025-07-08 15:35:05,2025-07-08 15:47:53,2025-07-08 15:41:29.000,12.8,4.11,25.19,454.81,40.75,28.86,0.886,1.65,1.1,1.35,0.131,Diretto_Entrambi_Tensiometri,35.298,0.28,34.732,0.32,29.432,0.17,35.247,0.22,43.163,0.04,29.849,0.14,33.278,0.13,44.218,0.01,29.384,31.893,35.064,30.635,33.045,35.677,38.36,31.675,True
ML9,6,2025-07-08 16:00:00,2025-07-08 16:35:05,2025-07-08 16:47:48,2025-07-08 16:41:26.500,12.72,5.11,25.08,454.01,40.43,28.64,0.879,1.84,1.04,1.38,0.141,Diretto_Entrambi_Tensiometri,35.76,0.3,35.026,0.32,29.693,0.04,35.387,0.29,43.626,0.03,30.154,0.03,33.235,0.37,45.332,0.12,29.447,31.774,34.859,30.373,33.38,35.973,38.815,31.549,True
ML9,7,2025-07-08 17:00:00,2025-07-08 17:35:05,2025-07-08 17:47:42,2025-07-08 17:41:23.500,12.62,6.11,25.14,453.22,40.11,28.41,0.872,2.14,1.55,1.82,0.26,Diretto_Entrambi_Tensiometri,36.238,0.43,35.262,0.26,29.957,0.07,35.526,0.34,43.864,0.08,30.434,0.01,32.635,0.01,46.378,1.23,29.664,31.311,35.334,29.973,33.702,36.197,38.904,31.493,True
ML9,8,2025-07-08 18:00:00,2025-07-08 18:35:05,2025-07-08 18:47:43,2025-07-08 18:41:24.000,12.63,7.11,25.04,452.42,39.79,28.19,0.865,2.41,1.79,2.07,0.317,Diretto_Entrambi_Tensiometri,37.018,0.34,35.899,0.41,30.198,0.01,36.126,0.37,44.468,0.08,30.653,0.14,32.062,0.12,46.552,0.05,29.847,31.142,35.482,29.753,34.237,36.653,38.634,31.474,True
ML9,9,2025-07-08 19:00:00,2025-07-08 19:35:05,2025-07-08 19:47:42,2025-07-08 19:41:23.500,12.62,8.11,25.02,451.66,39.49,27.97,0.858,2.67,2.03,2.33,0.367,Diretto_Entrambi_Tensiometri,37.739,0.42,36.427,0.38,30.313,0.2,36.64,0.41,44.785,0.04,30.678,0.03,32.025,0.67,46.948,0.93,29.989,30.993,35.388,30.938,34.669,36.924,38.775,31.761,True
ML9,10,2025-07-08 20:00:00,2025-07-08 20:35:05,2025-07-08 20:47:42,2025-07-08 20:41:23.500,12.62,9.11,24.92,450.96,39.21,27.77,0.852,2.95,2.24,2.57,0.41,Diretto_Entrambi_Tensiometri,38.617,0.49,37.014,0.43,30.588,0.09,37.249,0.39,45.308,0.19,30.874,0.03,32.56,0.6,47.27,0.55,30.076,30.85,35.503,30.988,35.229,37.35,39.232,31.786,True
ML9,11,2025-07-08 21:00:00,2025-07-08 21:35:05,2025-07-08 21:47:52,2025-07-08 21:41:28.500,12.78,10.11,24.62,450.26,38.93,27.57,0.846,3.27,2.52,2.87,0.457,Diretto_Entrambi_Tensiometri,39.803,0.66,37.913,0.45,30.882,0.11,38.005,0.41,46.481,0.05,31.24,0.06,32.453,0.2,47.578,0.35,30.19,30.694,35.579,30.886,35.986,38.072,39.294,31.766,True
ML9,12,2025-07-08 22:00:00,2025-07-08 22:35:05,2025-07-08 22:47:56,2025-07-08 22:41:30.500,12.85,11.11,24.58,449.58,38.66,27.38,0.84,3.63,2.74,3.15,0.499,Diretto_Entrambi_Tensiometri,41.197,0.65,39.037,0.59,31.106,0.03,38.883,0.42,47.18,0.04,31.549,0.01,32.502,0.87,48.271,0.63,30.22,30.68,35.705,30.775,36.846,38.681,39.609,31.77,True
ML9,13,2025-07-08 23:00:00,2025-07-08 23:35:05,2025-07-08 23:47:56,2025-07-08 23:41:30.500,12.85,12.11,24.46,448.93,38.4,27.2,0.835,3.98,2.71,3.28,0.516,Diretto_Entrambi_Tensiometri,43.058,1.77,40.198,0.64,31.312,0.06,39.799,0.61,47.952,0.06,31.894,0.05,32.433,1.34,48.179,0.07,30.548,30.811,36.059,30.73,37.843,39.337,39.53,31.957,True
ML9,14,2025-07-09 00:00:00,2025-07-09 00:35:05,2025-07-09 00:47:55,2025-07-09 00:41:30.000,12.83,13.11,24.36,448.3,38.14,27.02,0.829,4.38,3.22,3.76,0.575,Diretto_Entrambi_Tensiometri,45.446,0.75,41.75,0.48,31.395,0.08,41.367,2.02,48.816,0.1,32.109,0.03,32.215,1.43,49.531,0.01,30.986,30.735,36.25,30.673,39.054,40.174,39.945,32.079,True
ML9,15,2025-07-09 01:00:00,2025-07-09 01:35:05,2025-07-09 01:47:43,2025-07-09 01:41:24.000,12.63,14.11,24.24,447.68,37.9,26.84,0.824,4.82,3.46,4.08,0.611,Diretto_Entrambi_Tensiometri,47.798,0.76,43.766,0.56,31.381,0.01,42.953,0.3,49.689,0.08,32.333,0.11,32.212,1.63,50.097,0.72,31.362,30.779,36.496,30.642,40.34,41.017,40.171,32.233,True
ML9,16,2025-07-09 02:00:00,2025-07-09 02:35:05,2025-07-09 02:47:33,2025-07-09 02:41:19.000,12.47,15.1,24.16,447.06,37.65,26.67,0.818,5.27,3.74,4.44,0.647,Diretto_Entrambi_Tensiometri,50.774,0.87,45.81,0.55,31.269,0.16,44.401,0.78,50.727,0.44,32.577,0.14,32.44,1.76,50.422,0.04,31.858,30.838,36.763,30.636,41.742,41.865,40.444,32.433,True
ML9,17,2025-07-09 03:00:00,2025-07-09 03:35:05,2025-07-09 03:47:25,2025-07-09 03:41:15.000,12.33,16.1,24.03,446.43,37.4,26.49,0.813,5.83,3.98,4.82,0.683,Diretto_Entrambi_Tensiometri,54.274,0.91,48.409,0.15,31.096,0.15,46.245,0.67,51.629,0.17,32.804,0.12,32.919,1.98,51.037,1.85,32.435,30.795,37.031,30.65,43.392,42.785,40.989,32.63,True
ML9,18,2025-07-09 04:00:00,2025-07-09 04:35:05,2025-07-09 04:47:24,2025-07-09 04:41:14.500,12.32,17.1,23.95,445.8,37.15,26.31,0.808,6.35,4.22,5.18,0.714,Diretto_Entrambi_Tensiometri,58.206,0.87,51.037,0.31,30.848,0.09,48.005,0.86,52.813,0.2,32.983,0.14,33.131,2.18,51.652,0.0,33.118,30.817,37.291,30.628,45.084,43.729,41.368,32.858,True
ML9,19,2025-07-09 05:00:00,2025-07-09 05:35:05,2025-07-09 05:47:16,2025-07-09 05:41:10.500,12.18,18.1,23.9,445.18,36.9,26.13,0.802,6.94,4.48,5.57,0.746,Diretto_Entrambi_Tensiometri,62.317,0.72,53.928,0.85,30.489,0.16,49.963,0.56,53.872,0.01,33.152,0.1,33.423,1.6,52.67,0.23,33.863,30.805,37.598,30.723,46.794,44.686,41.957,33.132,True
ML9,20,2025-07-09 06:00:00,2025-07-09 06:35:05,2025-07-09 06:47:15,2025-07-09 06:41:10.000,12.17,19.1,23.89,444.57,36.65,25.96,0.797,7.53,4.75,5.98,0.777,Diretto_Entrambi_Tensiometri,66.245,0.7,56.618,0.61,30.138,0.22,51.757,0.75,54.958,0.01,33.278,0.07,33.513,2.26,53.246,0.21,34.72,30.81,37.72,30.734,48.351,45.574,42.243,33.371,True
ML9,21,2025-07-09 07:00:00,2025-07-09 07:35:05,2025-07-09 07:47:20,2025-07-09 07:41:12.500,12.25,20.1,23.94,443.96,36.41,25.79,0.792,8.15,4.99,6.38,0.805,Diretto_Entrambi_Tensiometri,70.875,0.67,59.819,0.69,29.688,0.3,53.874,0.69,56.222,0.17,33.349,0.03,33.552,2.32,53.778,0.16,35.614,30.843,38.226,30.572,50.115,46.572,42.478,33.66,True
ML9,22,2025-07-09 08:00:00,2025-07-09 08:35:05,2025-07-09 08:47:33,2025-07-09 08:41:19.000,12.47,21.1,24.9,443.31,36.15,25.6,0.786,8.69,5.18,6.71,0.827,Diretto_Entrambi_Tensiometri,75.999,0.7,63.131,0.08,29.042,0.36,56.248,0.66,57.421,0.02,33.264,0.1,33.016,2.31,54.471,0.5,36.578,30.911,38.364,30.167,51.843,47.539,42.408,33.822,True
ML9,23,2025-07-09 09:00:00,2025-07-09 09:35:05,2025-07-09 09:48:10,2025-07-09 09:41:37.500,13.08,22.11,25.47,442.67,35.89,25.42,0.78,9.5,5.46,7.21,0.858,Diretto_Entrambi_Tensiometri,81.881,0.83,67.133,0.61,28.554,0.27,58.735,0.72,58.93,0.03,33.397,0.09,32.879,2.16,54.972,0.18,37.997,31.009,38.858,30.158,53.942,48.713,42.514,34.279,True
